rmsd	tmscore
2.15	0.74671
2.35	0.74065
1.98	0.74424
1.76	0.76654
1.76	0.76599
2.11	0.75585
2.04	0.72964
2.16	0.75322
1.82	0.76635
1.99	0.74281
1.7	0.77048
2.19	0.73731
2.28	0.72544
2.08	0.74013
2.19	0.73111
2.38	0.72493
2.29	0.73198
2.56	0.69868
2.49	0.70963
2.07	0.72612
2.45	0.72925
2.14	0.71793
2.04	0.74883
2.07	0.72941
2.25	0.72385
2.43	0.72837
2.43	0.71373
2.24	0.74402
1.93	0.7435
2.36	0.73213
2.21	0.71935
2.05	0.73578
2.2	0.71602
2.26	0.73147
2.23	0.73941
2.5	0.71414
2.11	0.71876
2.4	0.73985
2.23	0.72531
2.02	0.73506
2.16	0.7211
1.99	0.73296
2.09	0.73812
2.24	0.7244
2.48	0.6897
2.04	0.73125
2.23	0.715
2.24	0.72184
2.01	0.74012
2.43	0.73672
1.9	0.74852
2.1	0.72389
1.94	0.74409
2.04	0.73187
2.17	0.72146
2.17	0.72328
2.48	0.72061
2.32	0.74042
1.93	0.74245
2.13	0.73238
2.04	0.74805
2.04	0.74773
2.44	0.7225
2.0	0.74253
2.09	0.74584
1.97	0.74408
2.32	0.7359
2.21	0.71909
2.16	0.74454
2.14	0.73996
2.32	0.73643
1.99	0.74833
1.94	0.72361
1.92	0.73076
2.0	0.71807
1.87	0.7343
2.01	0.7232
2.17	0.7244
2.51	0.68042
2.06	0.71684
2.21	0.70278
2.02	0.7271
2.06	0.73098
2.16	0.69194
2.15	0.74264
1.91	0.72963
2.03	0.72588
2.2	0.72058
1.89	0.73569
2.03	0.73712
2.05	0.71732
2.24	0.72646
2.08	0.70987
1.94	0.72707
2.48	0.69397
2.3	0.7116
1.86	0.71192
2.01	0.71989
2.07	0.72039
2.1	0.70047
2.19	0.71488
2.5	0.68988
2.4	0.69951
2.24	0.70846
2.35	0.69819
2.25	0.70999
2.01	0.73969
2.24	0.71054
1.93	0.72604
2.03	0.71535
2.06	0.71021
2.2	0.71364
2.11	0.72658
1.86	0.73513
2.12	0.72555
2.09	0.73067
2.25	0.73036
2.33	0.68519
2.0	0.72486
2.25	0.72407
2.13	0.70559
2.06	0.70743
1.95	0.72187
1.81	0.7264
2.12	0.70003
1.95	0.72256
2.0	0.71508
1.7	0.73032
2.44	0.70407
2.26	0.71752
1.97	0.73927
2.13	0.7066
2.03	0.73515
2.27	0.71523
2.44	0.68926
2.3	0.69714
2.46	0.69373
2.56	0.68289
2.73	0.68534
2.0	0.70705
2.66	0.66172
2.54	0.68027
2.63	0.69211
2.49	0.67747
2.23	0.7081
2.48	0.67991
2.45	0.69161
2.44	0.70871
2.55	0.67146
2.4	0.70399
2.43	0.6999
2.45	0.69781
2.54	0.68387
2.46	0.70642
2.54	0.67768
2.64	0.70302
2.37	0.70314
2.95	0.65009
2.33	0.6922
2.36	0.70143
2.55	0.69499
2.48	0.69515
2.4	0.6984
2.39	0.691
2.35	0.70685
2.42	0.70824
2.78	0.63533
2.45	0.68763
2.6	0.6659
2.45	0.67375
2.31	0.71351
2.66	0.69668
2.36	0.70312
2.4	0.70288
2.35	0.69969
2.34	0.70364
2.56	0.67661
2.51	0.68381
2.64	0.69144
2.47	0.7004
2.3	0.70381
2.35	0.71276
2.13	0.72355
2.46	0.70185
2.45	0.68105
2.21	0.70124
2.35	0.71187
2.17	0.73214
2.67	0.70407
2.61	0.65899
2.44	0.7142
2.39	0.69811
2.57	0.68017
2.37	0.71359
1.83	0.747
1.96	0.75341
2.12	0.73383
1.99	0.74789
2.1	0.7382
2.25	0.73194
2.78	0.68703
2.04	0.7454
2.19	0.70899
2.09	0.7347
1.95	0.7439
2.13	0.70768
1.91	0.75014
1.93	0.75414
2.09	0.74707
2.12	0.73198
2.05	0.74537
1.96	0.74846
2.14	0.73564
2.09	0.74264
2.18	0.72339
1.94	0.75234
2.4	0.7067
2.16	0.72919
2.35	0.72194
1.92	0.74005
2.03	0.74624
2.21	0.71152
2.06	0.72681
2.3	0.69596
2.21	0.70503
2.17	0.71939
2.26	0.7055
2.17	0.72076
2.01	0.74076
2.11	0.73023
2.06	0.73698
2.09	0.73048
2.28	0.70952
2.1	0.73058
1.92	0.7502
2.04	0.73919
1.91	0.75377
1.85	0.74511
2.03	0.73572
2.39	0.68965
2.05	0.73787
2.0	0.73654
2.19	0.7245
1.88	0.73594
2.09	0.73465
2.18	0.7401
2.2	0.72059
2.09	0.73118
2.07	0.73317
2.24	0.74423
2.3	0.70233
2.08	0.73725
1.98	0.74093
2.3	0.7127
1.94	0.74436
2.02	0.73366
1.89	0.75065
2.28	0.72704
1.95	0.74403
1.99	0.7353
2.24	0.73296
2.71	0.68788
1.96	0.74471
2.36	0.70407
2.16	0.73575
2.12	0.74245
2.31	0.69506
2.03	0.75427
1.84	0.7529
2.18	0.73524
2.23	0.72651
2.01	0.73821
2.09	0.75322
2.11	0.72719
2.0	0.74018
2.1	0.72016
1.81	0.75616
2.46	0.69768
2.14	0.71522
2.34	0.7229
2.15	0.73388
2.13	0.73893
2.17	0.70732
2.24	0.72487
2.57	0.68799
2.37	0.70336
2.2	0.70728
2.35	0.68932
2.17	0.73103
2.14	0.74171
2.3	0.72039
2.06	0.73694
2.08	0.72108
2.34	0.70912
2.32	0.72237
1.93	0.74016
2.21	0.73295
1.89	0.74533
2.16	0.74183
2.26	0.72759
2.51	0.68229
2.17	0.73084
2.21	0.72771
